grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0104692383,3.38358704,320.105193,3.17937541,0.287794762,2.42023454e-07,1.2181972e-06,0.149446007,8.67409141e-06,0.000283044091,5.35504678e-05,6.93356259e-06,0.562405569,5.7155708e-15
0.0104707031,3.43308179,325.263593,3.13353843,0.286609148,5.44486871e-07,1.62968889e-06,0.149620292,1.25848145e-05,0.000397172275,7.71230063e-05,9.90242105e-06,0.563271603,-5.42644482e-16
0.010472168,3.49642723,331.814975,3.07676759,0.285246688,1.23838268e-06,2.21038792e-06,0.149798299,1.85402418e-05,0.000559473328,0.000111131967,1.41153269e-05,0.564248303,-3.90999681e-15
0.0104729004,3.53454546,335.736698,3.04358628,0.284491396,1.91406866e-06,2.59539269e-06,0.149885468,2.27407036e-05,0.000665537197,0.000133295125,1.68261516e-05,0.564780227,1.12983584e-16
0.0104736328,3.57770411,340.162524,3.00687084,0.283682957,2.92519292e-06,3.06333358e-06,0.149968904,2.80478397e-05,0.000792811021,0.000159699892,2.00365152e-05,0.565341555,1.14562766e-15
0.0104743652,3.62641787,345.143575,2.96647949,0.282819065,4.4303251e-06,3.63411474e-06,0.150046619,3.47658689e-05,0.000944893341,0.000190760648,2.38007532e-05,0.565932031,4.14753068e-15
0.0104750977,3.6812119,350.732136,2.92232411,0.281897569,6.64968435e-06,4.33269621e-06,0.150116408,4.3278949e-05,0.00112577283,0.000226774706,2.8165401e-05,0.566551048,-3.41861541e-15
0.0104758301,3.74260929,356.980454,2.87438349,0.280916507,9.88361038e-06,5.19017362e-06,0.150175902,5.4064565e-05,0.00133979916,0.000267853387,3.31642692e-05,0.567197636,-3.40262807e-15
0.0104765625,3.81111562,363.939258,2.82271529,0.279874146,1.45333544e-05,6.24490075e-06,0.150222633,6.77034958e-05,0.0015916283,0.000313849982,3.88135224e-05,0.567870448,9.63202325e-15
0.0104769287,3.8482315,367.704698,2.79549042,0.279329213,1.75892849e-05,6.86419117e-06,0.150240262,7.58568615e-05,0.00173366214,0.000338528378,4.18815054e-05,0.568216143,1.05971307e-14
0.0104772949,3.88736457,371.671641,2.76734896,0.278768153,2.12162125e-05,7.55363067e-06,0.150253438,8.50269949e-05,0.00188755579,0.000364279685,4.511697e-05,0.56856766,5.0665932e-15
